"y" "Ntrials" "wildfire" "logging" "lichwood" "openlich" "deciduous" "water" "wetland" "meanelev" "node_matern" "node_CAR"
0 100 43.676 14.246 0 0 0.165 20.692 3.127 450.838 944 312
0 100 0 45.462 0.041 0 0.879 18.983 1.337 434.784 945 313
0 100 0.097 1.342 0.154 0.338 9.302 50.794 0.53 372.035 946 314
0 100 0.025 0 0.067 0.046 10.214 33.567 0.969 410.246 947 315
0 100 0.959 0 1.161 0.463 9.397 34.37 0.557 395.705 948 316
0 100 0 0 3.806 1.693 4.503 24.036 2.712 410.284 949 317
0 100 0.253 0 7.208 3.336 9.137 5.41 2.095 468.007 950 318
0 100 0 0 4.35 2.297 20.756 3.845 1.683 574.629 951 319
0 100 0 0 0.793 0.225 6.83 11.462 0.662 553.121 952 320
1 100 0 0 1.357 1.537 1.092 4.686 2.094 561.137 953 321
1 100 0.788 0 4.33 1.235 0.502 8.342 1.726 530.818 954 322
0 100 7.378 0.479 1.487 0.674 3.821 12.738 1.655 495.117 955 323
2 100 0.791 1.376 0 0 1.836 41.814 0.813 390.507 956 324
0 72 0.264 0.297 0 0.341 8.312 48.67 2.325 399.08 957 325
0 52 0.052 17.668 0 0.466 12.278 14.442 0.775 450.098 885 326
0 100 11.011 28.953 0 0 3.97 5.491 0.922 439.882 886 327
0 100 34.618 38.618 0 0 2.532 7.719 1.131 454.313 887 328
0 100 1.853 45.548 0 0.838 0.146 35.943 0.893 431.827 888 329
0 100 0 36.228 2.43 0.465 1.355 22.747 1.28 452.924 889 330
0 100 0 55.553 1.114 0.235 0.633 11.627 0.997 471.311 890 331
0 100 0.232 44.306 1.168 0 4.496 6.13 2.005 513.992 891 332
0 100 3.079 32.144 1.667 2.092 12.669 5.374 1.44 462.316 892 333
0 100 2.225 37.786 2.099 3.967 8.508 5.866 2.763 528.361 893 334
0 100 0 29.498 0.498 0 3.188 22.358 0.839 468.295 894 335
0 100 0 1.152 0 8.435 8.923 52.659 0.778 400.72 895 336
0 100 0.112 0 1.937 8.23 8.494 5.985 2.881 489.621 896 337
0 100 0 1.871 1.102 3.489 11.139 9.454 2.105 581.411 897 338
0 100 0 6.212 4.04 4.441 11.409 6.123 3.797 588.665 898 339
0 100 0 0.988 6.454 5.656 31.044 4.662 2.822 590.765 899 340
0 100 0 0 5.375 1.389 15.39 5.233 3.065 505.395 900 341
0 100 0 0.999 1.347 1.763 5.815 9.457 2.855 503.021 901 342
0 100 0 0.253 1.509 0 1.647 17.35 1.836 513.085 902 343
0 100 0 0.072 0.757 0 3.606 24.233 0.659 473.653 903 344
0 100 0 1.981 0 0 1.539 25.661 0.657 452.135 904 345
1 100 0.049 0 4.398 0.25 3.833 24.403 1.382 434.437 905 346
0 100 0 0.162 3.714 0 2.623 72.908 0.988 361.683 906 347
0 17 0 0 0.328 0.054 10.64 51.976 0.712 397.82 907 348
0 21 6.577 29.379 0 0.027 14.207 6.292 1.084 356.438 834 349
0 100 60.591 21.565 0 0 1.999 6.112 0.651 361.1 835 350
0 100 71.218 7.374 0 0 1.027 9.575 2.155 483.265 836 351
1 100 52.671 14.839 0 0 0.154 15.206 4.25 485.866 837 352
0 100 4.15 55.011 1.077 0 1.791 6.719 1.539 446.614 838 353
0 100 0.233 56.652 2.873 0 1.717 6.063 1.827 485.057 839 354
0 100 0.503 13.333 0.301 0.121 17.009 29.364 1.11 408.086 840 355
0 100 0.578 0 0.117 5.133 25.649 15.347 2.598 458.577 841 356
0 100 0.515 24.844 2.998 2.871 18.147 7.636 3.006 460.925 842 357
0 100 1.63 16.239 0 0 4.448 52.595 0.425 384.765 843 358
0 100 1.32 12.288 0 1.82 3.37 56.175 0.505 380.973 844 359
1 100 0.847 7.169 0.892 3.958 1.087 11.286 1.021 492.514 845 360
0 100 0.826 25.587 0.038 0.722 0.515 13.166 1.624 566.863 846 361
